BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;PDSA;NRML;NBLIB;CAR;SAMUSDIS
SMURSAMU;2013;710978313;710976705;1;1;0;0;0;;0;0;168;168;168;1;;;;549;12;;;;;561;81;69;81;;;468;32;147;385;83;;;;;;;;;;;;;;;
SMURSAMU;2013;710978347;710781204;1;1;0;0;0;;0;0;168;168;0;;1;;;581;24;;;;;605;284;55;1;49;181;470;27;144;420;50;;;;;;;;;;;;;;;
SMURSAMU;2013;720000033;720000025;1;1;0;0;0;720000025;0;1;336;336;336;3;2;;;2077;762;;;4;;2843;1129;396;27;69;637;948;;;758;190;294308;230948;;91170;69739;21431;168;168;56;434;1;0;18;684;0
SMURSAMU;2013;720000470;610780082;1;1;0;0;0;;0;0;168;168;504;;1;;;302;;;;;;302;101;59;3;8;39;202;10;56;99;103;;;;;;;;;;;;;;;
SMURSAMU;2013;720016179;720016724;1;1;0;0;0;;0;0;168;168;0;0;2;0;0;466;156;;;;;622;175;78;21;13;89;339;41;54;191;148;;;;;;;;;;;;;;;
SMURSAMU;2013;730000031;730000015;1;1;0;0;0;;0;1;336;336;336;3;3;0;0;1801;866;412;5;8;0;2680;312;113;1;143;55;1095;;;1009;86;165027;154253;142758;102247;90573;30135;290;177;113;300;1;0;42;888;0
SMURSAMU;2013;730000049;730002839;1;1;0;0;0;;0;0;168;203;0;;1;0;;334;10;;678;31;;1053;119;73;8;18;20;903;163;39;337;566;;;;;;;;;;;;;;;
SMURSAMU;2013;730000080;730780103;1;1;0;0;0;;0;0;672;504;0;;;;;403;6;0;474;24;0;907;;60;0;39;0;755;135;91;484;271;;;;;;;;;;;;;;;
SMURSAMU;2013;730000247;730780525;1;1;0;0;0;;0;0;168;168;0;;;;;174;5;;;;;179;27;21;0;3;3;156;18;14;133;23;;;;;;;;;;;;;;;
SMURSAMU;2013;730000262;730002839;1;1;0;0;0;;0;0;168;168;0;;1;;;481;5;;;;;486;162;90;5;41;26;320;24;64;267;53;;;;;;;;;;;;;;;
SMURSAMU;2013;730010477;730780103;1;0;0;0;1;;0;0;336;0;0;;;;;128;;;474;24;;626;;34;;16;;529;108;36;286;243;;;;;;;;;;;;;;;
SMURSAMU;2013;730010485;730000015;1;0;0;0;1;;0;0;;;;;;;;898;267;0;1;1;;1167;250;89;2;89;70;623;;;93;530;;;;;;;;;;;;;;;
SMURSAMU;2013;740000237;740781133;1;1;0;0;0;740781133;0;1;336;245;175;2;2;0;0;2827;459;5;224;43;0;3553;1070;265;1;506;298;1981;195;302;1862;119;286044;286044;286044;155644;155644;0;369;228;141;708;1;0;21;1444;1
SMURSAMU;2013;740000302;740781216;1;1;0;0;0;740781133;0;0;168;80;140;0;2;0;0;962;37;56;0;0;0;999;1008;106;6;68;324;458;;;213;245;;;;;;;;;;;;;;;
SMURSAMU;2013;740000328;740790381;1;1;0;0;0;;0;0;168;168;0;0;3;0;0;1209;40;;;;;1249;457;164;31;90;172;752;33;120;632;120;;;;;;;;;;;;;;;
SMURSAMU;2013;740781141;740790258;1;1;0;0;0;740790258;0;0;252;252;252;2;2;;;1753;227;;15;;;1995;804;169;;180;455;822;88;115;624;198;;;;;;;;;;;;;;;
SMURSAMU;2013;740781166;740001839;1;0;0;0;1;740001839;0;0;252;84;0;;1;;;191;5;;449;29;;674;65;36;;29;;575;;;495;80;;;;;;;;;;;;;;;
SMURSAMU;2013;740781224;740001839;1;1;0;0;0;;0;0;168;168;0;;;;;842;140;14;;;;982;173;98;75;;;669;;;481;188;;;;;;;;;;;;;;;
SMURSAMU;2013;750100018;750712184;1;1;0;0;1;750100208;0;0;168;168;168;1;;;;1608;216;;;;;1824;823;106;19;93;604;750;12;129;690;60;;;;;;;;;;;;;;;
SMURSAMU;2013;750100042;750712184;1;1;0;0;1;;0;0;168;420;168;1;;;;2203;90;;;;0;2293;1176;176;392;76;716;1484;100;484;828;656;;;;;;;;;;;;;;;
SMURSAMU;2013;750100125;750712184;1;1;0;0;0;;0;0;403;252;423;2;;;;2947;255;;;;;3202;2151;181;971;999;;1795;;;1657;138;;;;;;;;;;;;;;;
SMURSAMU;2013;750100208;750712184;1;1;0;1;0;750100208;0;1;712;762;762;6;4;0;0;5745;2887;626;5;42;0;8679;2989;;;;;2580;;;284;2296;817455;393413;253300;304380;153773;23540;600;554;46;910;1;0;0;94;0
SMURSAMU;2013;750803454;750712184;1;0;0;1;0;;0;0;245;171;176;2;0;0;0;495;811;0;0;4;0;1310;113;5;0;41;67;382;382;0;219;163;;;;;;;;;;;;;;;
SMURSAMU;2013;760000018;760780023;1;1;0;0;0;;0;0;168;177;175;1;;;;893;21;;2;2;;918;311;106;5;32;145;388;28;64;294;94;;;;;;;;;;;;;;;
SMURSAMU;2013;760000158;760780239;1;1;0;0;0;760780239;0;1;505;588;1008;4;4;0;0;3922;1788;0;33;42;0;5785;751;550;18;123;60;4999;817;2523;3456;1543;333658;330235;323649;164563;151069;60428;431;330;111;753;1;1;0;2527;0
SMURSAMU;2013;760000364;760780734;1;1;0;0;0;;0;0;40;175;171;;;;;982;;;;;;982;;78;91;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2013;760000372;760780742;1;1;0;0;0;760780742;0;0;168;168;70;0;0;0;0;873;0;0;0;0;0;873;364;85;3;78;198;561;;;175;386;;;;;;;;;;;;;;;
SMURSAMU;2013;760000463;760024042;1;1;0;0;0;;0;0;4992;228;228;0;2;0;0;1178;125;0;0;0;0;1303;202;112;9;81;0;976;145;217;728;248;;;;;;;;;;;;;;;
