BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2013;130022619;130810161;;;;0;0;1;;;;;;;0;0;0;0;0;1;0;1;0;0;;0.5;0.1
INFOMED;2013;130035793;130013139;;;;;;;0;0;1;;;;0;0;0;0;0;0;0;0;0;0;;0.1;0.12
INFOMED;2013;130037922;130037823;;;1;;;;;;;;;;0;0;1;1;0;1;1;0;0;0;;3;0.2
INFOMED;2013;130038003;130029218;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;0.1;0.05
INFOMED;2013;130042526;310021399;0;0;0;0;0;0;0;1;0;0;0;0;;;;;;0;0;0;;0;;;
INFOMED;2013;130043664;130002157;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;1;0;;10.66;2.6
INFOMED;2013;130780075;310021332;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;;;
INFOMED;2013;130780083;130000060;;;;;;;0;0;1;;;;0;0;0;0;0;1;1;1;0;0;;0.5;0.3
INFOMED;2013;130780521;130786049;;1;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;9.6;2.8
INFOMED;2013;130781289;130002447;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;130786361;;
INFOMED;2013;130781370;130000532;0;0;1;;;;;;;;;;0;0;0;0;0;1;1;0;0;0;;4;0.25
INFOMED;2013;130781438;130000557;;;;;;;1;0;0;;;;0;0;0;0;0;1;1;0;0;0;;1;0.2
