BOR;AN;FI;FI_EJ;GDE;AUT;LIT;PLA;APEC;SEJHC;JOUHC;SEJHP;JOUHP
SSR;2013;060780186;060006939;SSR_TOT;0;52;;0;677;19297;;
SSR;2013;060780277;750043994;SSR_A;;123;;;1271;44051;;
SSR;2013;060780277;750043994;SSR_A50;1;123;;0;1271;44051;;
SSR;2013;060780277;750043994;SSR_A59;1;;;0;;;;
SSR;2013;060780277;750043994;SSR_TOT;0;123;;0;1271;44051;;
SSR;2013;060780343;060000171;SSR_A;;44;;;551;16762;;
SSR;2013;060780343;060000171;SSR_A50;1;44;;0;551;16762;;
SSR;2013;060780343;060000171;SSR_TOT;0;44;;0;551;16762;;
SSR;2013;060780350;920000395;SSR_A;;44;;;500;15691;;
SSR;2013;060780350;920000395;SSR_A50;1;44;;0;500;15691;;
SSR;2013;060780350;920000395;SSR_TOT;0;44;;0;500;15691;;
SSR;2013;060780392;060000205;SSR_A;;115;;;990;35402;;
SSR;2013;060780392;060000205;SSR_A50;1;115;;0;990;35402;;
SSR;2013;060780392;060000205;SSR_TOT;0;115;;0;990;35402;;
SSR;2013;060780459;010783009;SSR_A;;102;5;;628;28856;107;3101
SSR;2013;060780459;010783009;SSR_A50;1;;;0;;;;
SSR;2013;060780459;010783009;SSR_A51;1;102;5;;199;9396;95;2731
SSR;2013;060780459;010783009;SSR_A52;1;;;0;319;15030;12;370
SSR;2013;060780459;010783009;SSR_A59;0;;;0;110;4430;;
SSR;2013;060780459;010783009;SSR_TOT;0;102;5;0;628;28856;107;3101
SSR;2013;060780558;750720575;SSR_A;;10;1;;85;3007;18;294
SSR;2013;060780558;750720575;SSR_A50;1;10;1;0;85;3007;18;294
SSR;2013;060780558;750720575;SSR_E;;93;6;;755;24700;130;1237
SSR;2013;060780558;750720575;SSR_E50;1;27;3;0;235;9393;33;491
SSR;2013;060780558;750720575;SSR_E55;1;66;3;0;520;15307;97;746
SSR;2013;060780558;750720575;SSR_TOT;0;103;7;0;840;27707;148;1531
SSR;2013;060780665;060000312;SSR_A;;30;;;354;8932;;
SSR;2013;060780665;060000312;SSR_A50;1;30;;0;354;8932;;
SSR;2013;060780665;060000312;SSR_TOT;0;30;;0;354;8932;;
SSR;2013;060780749;060000395;SSR_A;;43;;;456;15487;;
SSR;2013;060780749;060000395;SSR_A50;1;43;;0;456;15487;;
SSR;2013;060780749;060000395;SSR_TOT;0;43;;0;456;15487;;
SSR;2013;060781374;060000718;SSR_A;;153;;;1686;55743;;
SSR;2013;060781374;060000718;SSR_A50;1;153;;0;1686;55743;;
